Id,Predicted
1,-0.8337610136295006
2,-0.32747189050589
3,-0.9924938516482881
4,-0.39025485653295333
5,0.14675655976921997
6,-1.883508681504773
7,-0.8734906129916652
8,-0.07166181278178563
9,-0.48942829078022054
10,-2.6055982377932856
11,-1.612887637176348
12,-0.8012079038518651
13,-0.5052302134571189
14,-2.416575628761587
15,-2.8741938256991033
16,-1.4725328964893962
17,-1.6043293150718214
18,-0.9548538188324869
19,-1.5382820601727478
20,-0.1442622496861694
21,-1.2027354519880469
22,-1.3372828229067593
23,-0.532421559320015
24,-1.1925930748696338
25,-1.2746473479637186
26,-1.8191759353751715
27,-0.9333129821450744
28,-0.1745918281890979
29,-0.8739403117338191
30,-0.8192310148849524
31,-0.7372721790219776
32,-2.6055982377932856
33,-2.4060835553536752
34,-0.4550979677083249
35,-1.3185354487774703
36,-0.8622399258485479
37,-2.1100637186650877
38,-1.5437234803180995
39,-0.06224475793946582
40,-0.6618277409353919
41,-2.4060835553536752
42,1.1717063035482826
43,-2.0888376790283316
44,-1.4749259419369445
45,-1.883508681504773
46,-1.0025573793510656
47,1.6992402226311254
48,-1.1856320178059452
49,-0.008452910785837542
50,-1.7603277381046525
51,-1.4725328964893962
52,-1.4456760816128431
53,-0.5665692687834722
54,-0.11680798398377323
55,-2.7760150074029055
56,-0.2742549635064193
57,-0.7372721790219776
58,-1.2008821899346531
59,-2.4060835553536752
60,-1.0524611240484596
61,-1.474584778185862
62,-0.8775193686948191
63,-1.062897249666046
64,-1.8830245912172803
65,-1.173948933462067
66,-1.092698826771605
67,-0.7192282632616593
68,0.2538509024010158
69,-2.562932957537547
70,-0.5094371342146979
71,-1.8833676209659722
72,-2.0661971960234102
73,-1.7958340840493776
74,-0.8775193686948191
75,-0.9206753166729615
76,-0.19056157806136298
77,-1.0425845069088067
78,-0.7200073745484199
79,-2.4059115670617546
80,0.23842019367781897
81,-1.4450812358853926
82,1.8072929627253973
83,-1.6640540044590477
84,-2.040406110759792
85,0.5849310594656882
86,-0.4875679413697551
87,-0.1442622496861694
88,0.683370948113432
89,-0.8654010244364558
90,-0.4587038868975324
91,-0.242889333896122
92,-1.357090613169932
93,0.3432967509505287
94,-2.501904600952984
95,-1.05810827040456
96,-0.16508122577164674
97,-2.3533597595475153
98,-4.141252743140959
99,-2.3543235843784682
100,-2.0529415771534603
101,-2.6500624327475863
102,0.3371268259324618
103,-1.3658632893518317
